event_id,event_name,genre,market,venue_name,venue_capacity,tier,poll_timestamp,event_start,price_min,price_max,currency,days_until_event,price_mid,price_status,price_change,price_change_pct
rZ7HnEZ1AfPe3d,"SOLD OUT Mimosas & Motown: NEXT AVAILABLE SHOW IS SEPT. 13 / Sunday Brunch, August 09, 2026 Brunch in Anzu at 11:30 AM / Show at 12:45 PM",R&B,San Francisco,Feinstein's at The Nikko,,,2026-08-09 21:20:33+00:00,2026-08-09 18:30:00+00:00,0.0,0.0,USD,-0.1184375,0.0,free_or_no_charge,,
rZ7HnEZ1AfPeZS,Ben Nichols - In The Heart of the Mountain Tour,Rock,Ottawa,The 27 Club,,,2026-08-11 01:56:39+00:00,2026-08-11 23:30:00+00:00,35.49,35.49,CAD,0.8981597222222222,35.49,listed,,
rZ7HnEZ1AfPe_N,"The SpYder Stompers  , Andy Cohen + Eleanor Ellis + Bill Ellis ",Folk,Cleveland,Treelawn Social Club,,,2026-08-11 21:07:50+00:00,2026-08-13 23:30:00+00:00,23.88,23.88,USD,2.098726851851852,23.88,listed,,
rZ7HnEZ1AfPekd,Gay Ole Opry Presents: Lilith Feral 2-SHOW-PASS,Other,Nashville,The Basement,,,2026-08-11 01:41:44+00:00,2026-07-15 14:00:00+00:00,27.22,27.22,USD,-26.487314814814816,27.22,listed,,
rZ7HnEZ1AfPekd,Gay Ole Opry Presents: Lilith Feral 2-SHOW-PASS,Other,Nashville,The Basement,,,2026-08-11 01:56:39+00:00,2026-07-15 14:00:00+00:00,27.22,27.22,USD,-26.49767361111111,27.22,listed,0.0,0.0
rZ7HnEZ1AfPekd,Gay Ole Opry Presents: Lilith Feral 2-SHOW-PASS,Other,Nashville,The Basement,,,2026-08-11 21:07:07+00:00,2026-07-15 14:00:00+00:00,27.22,27.22,USD,-27.296608796296297,27.22,listed,0.0,0.0
rZ7HnEZ1AfPekd,Gay Ole Opry Presents: Lilith Feral 2-SHOW-PASS,Other,Nashville,The Basement,,,2026-08-11 21:07:50+00:00,2026-07-15 14:00:00+00:00,27.22,27.22,USD,-27.29710648148148,27.22,listed,0.0,0.0
rZ7HnEZ1AfPgZN,Leedz Edutainment And Smokehouse Media Present: EXITFAME & Friends Vol.2,Hip-Hop/Rap,Cambridge,Sonia,,,2026-08-11 21:07:50+00:00,2026-08-14 23:00:00+00:00,18.8,18.8,USD,3.0778935185185183,18.8,listed,,
rZ7HnEZ1AfPsoN,The FarGos,Alternative,Cambridge,Middle East - Zuzu,,,2026-08-09 21:20:33+00:00,2026-08-09 21:00:00+00:00,,,,-0.014270833333333333,,not_listed,,
rZ7HnEZ1AfPvod,Agalloch with Barren Heir and John Haughm (solo),Metal,Chicago,Thalia Hall,,,2026-08-11 21:07:50+00:00,2026-08-13 00:30:00+00:00,46.39,66.63,USD,1.1403935185185186,56.51,listed,,
rZ7HnEZ1AfZU_7,$5 Thursdays!,World,Denver,La Rumba,,,2026-08-11 21:07:07+00:00,2026-08-14 02:00:00+00:00,8.73,8.73,USD,2.2033912037037036,8.73,listed,,
rZ7HnEZ1AfZU_7,$5 Thursdays!,World,Denver,La Rumba,,,2026-08-11 21:07:50+00:00,2026-08-14 02:00:00+00:00,8.73,8.73,USD,2.2028935185185183,8.73,listed,0.0,0.0
rZ7HnEZ1AfZp_V,Saranac Thursdays: Be Kind and Rewind: Ultimate 90's Experience,Pop,Old Forge,Outer Space Old Forge,,,2026-08-11 21:07:50+00:00,2026-08-13 22:00:00+00:00,11.55,11.55,USD,2.036226851851852,11.55,listed,,
rZ7HnEZ1Afa7b7,FYE Ultraclub Presents: Jessica Brankka,Dance/Electronic,Toronto,FYE Ultra Club,,,2026-08-09 21:20:33+00:00,2026-08-09 02:00:00+00:00,29.83,35.62,CAD,-0.8059375,32.724999999999994,listed,,
rZ7HnEZ1Afa8P7,Bog Brothers,Folk,Syracuse,Funk 'n Waffles,,,2026-08-11 01:41:44+00:00,2026-08-10 23:30:00+00:00,13.07,13.07,USD,-0.09148148148148148,13.07,listed,,
rZ7HnEZ1Afa8P7,Bog Brothers,Folk,Syracuse,Funk 'n Waffles,,,2026-08-11 01:56:39+00:00,2026-08-10 23:30:00+00:00,13.07,13.07,USD,-0.10184027777777778,13.07,listed,0.0,0.0
rZ7HnEZ1AfaAx7,"Alden Booking Presents: The Collective Collapse Tour featuring: Collective Dust, Coraline’s Collapse, One For Sorrow and Capo",Other,Rutherford,Williams Center - CUG Cantina - Rutherford,,,2026-08-11 01:56:39+00:00,2026-08-12 00:00:00+00:00,13.63,13.63,USD,0.9189930555555555,13.63,listed,,
rZ7HnEZ1AfaAx7,"Alden Booking Presents: The Collective Collapse Tour featuring: Collective Dust, Coraline’s Collapse, One For Sorrow and Capo",Other,Rutherford,Williams Center - CUG Cantina - Rutherford,,,2026-08-11 21:07:50+00:00,2026-08-12 00:00:00+00:00,13.63,13.63,USD,0.11956018518518519,13.63,listed,0.0,0.0
rZ7HnEZ1AfaE00,"Retained Surgical Instrument, Pariah,Gnarcoossee, and Nocturnal Dawn",Metal,Winter Park,Conduit,,,2026-08-11 21:07:07+00:00,2026-08-12 23:00:00+00:00,19.9,19.9,USD,1.0783912037037038,19.9,listed,,
rZ7HnEZ1AfaE00,"Retained Surgical Instrument, Pariah,Gnarcoossee, and Nocturnal Dawn",Metal,Winter Park,Conduit,,,2026-08-11 21:07:50+00:00,2026-08-12 23:00:00+00:00,19.9,19.9,USD,1.0778935185185186,19.9,listed,0.0,0.0
rZ7HnEZ1AfaEJ7,Jason Maksymilian & Friends,Alternative,New York,Berlin,,,2026-08-11 01:56:39+00:00,2026-08-12 00:00:00+00:00,17.69,17.69,USD,0.9189930555555555,17.69,listed,,
rZ7HnEZ1AfaEJ7,Jason Maksymilian & Friends,Alternative,New York,Berlin,,,2026-08-11 21:07:50+00:00,2026-08-12 00:00:00+00:00,17.69,17.69,USD,0.11956018518518519,17.69,listed,0.0,0.0
rZ7HnEZ1AfaFrf,Square Dancing with Boondoggle,Country,Portland,Showdown Saloon,,,2026-08-11 01:41:44+00:00,2026-08-11 02:00:00+00:00,13.86,13.86,USD,0.012685185185185185,13.86,listed,,
rZ7HnEZ1AfaFrf,Square Dancing with Boondoggle,Country,Portland,Showdown Saloon,,,2026-08-11 01:56:39+00:00,2026-08-11 02:00:00+00:00,13.86,13.86,USD,0.0023263888888888887,13.86,listed,0.0,0.0
rZ7HnEZ1AfaKf0,Whiskey Wednesday with Special Guest Golden Promise with Sam Tippett Band,Country,Portland,Showdown Saloon,,,2026-08-11 21:07:50+00:00,2026-08-13 03:30:00+00:00,15.92,15.92,USD,1.2653935185185186,15.92,listed,,
rZ7HnEZ1AfaKo0,Two-Step Tuesday with Shorty & the Mustangs and Dance Lessons with Peggy,Country,Portland,Showdown Saloon,,,2026-08-11 21:07:07+00:00,2026-08-12 02:30:00+00:00,13.86,13.86,USD,0.22422453703703704,13.86,listed,,
rZ7HnEZ1AfaKo0,Two-Step Tuesday with Shorty & the Mustangs and Dance Lessons with Peggy,Country,Portland,Showdown Saloon,,,2026-08-11 21:07:50+00:00,2026-08-12 02:30:00+00:00,13.86,13.86,USD,0.22372685185185184,13.86,listed,0.0,0.0
rZ7HnEZ1AfaPCf,Agalloch,Metal,Providence,Fete Music Hall,,,2026-08-11 21:07:50+00:00,2026-08-14 00:00:00+00:00,38.98,38.98,USD,2.1195601851851853,38.98,listed,,
rZ7HnEZ1AfaPk7,FIESTA DE PUTXS,Dance/Electronic,Seattle,Chop Suey,,,2026-08-11 21:07:50+00:00,2026-08-14 04:00:00+00:00,13.42,111.0,USD,2.286226851851852,62.21,listed,,
rZ7HnEZ1AfaVGf,CHRIS O'LEARY BAND,Blues,Portland,Jack London Revue,,,2026-08-11 21:07:07+00:00,2026-08-12 03:00:00+00:00,26.24,26.24,USD,0.24505787037037038,26.24,listed,,
